,Days,Susceptible,Exposed,Infectious,Lag,ICU,Recovered,Dead,Vaccinated
83,83.0,274.0,138.0,105.0,10.0,6.0,261.0,126.0,80.0
84,84.0,291.0,129.0,102.0,11.0,3.0,256.0,127.0,81.0
85,85.0,291.0,133.0,95.0,9.0,5.0,256.0,128.0,83.0
86,86.0,308.0,127.0,94.0,7.0,6.0,242.0,129.0,87.0
87,87.0,298.0,138.0,96.0,6.0,4.0,238.0,130.0,90.0
88,88.0,320.0,132.0,103.0,7.0,3.0,213.0,130.0,92.0
89,89.0,310.0,128.0,110.0,8.0,2.0,216.0,132.0,94.0
90,90.0,313.0,141.0,118.0,6.0,4.0,189.0,133.0,96.0
91,91.0,295.0,162.0,115.0,3.0,7.0,189.0,133.0,96.0
92,92.0,275.0,161.0,128.0,4.0,3.0,198.0,135.0,96.0
93,93.0,277.0,155.0,129.0,3.0,3.0,202.0,135.0,96.0
94,94.0,266.0,164.0,126.0,4.0,1.0,205.0,137.0,97.0
95,95.0,265.0,161.0,126.0,3.0,1.0,208.0,137.0,99.0
96,96.0,265.0,145.0,137.0,7.0,0.0,208.0,137.0,101.0
97,97.0,239.0,165.0,121.0,8.0,0.0,227.0,137.0,103.0
98,98.0,244.0,152.0,118.0,10.0,1.0,235.0,137.0,103.0
99,99.0,238.0,150.0,111.0,8.0,3.0,246.0,138.0,106.0
100,100.0,257.0,146.0,112.0,8.0,2.0,230.0,139.0,106.0
101,101.0,261.0,143.0,104.0,6.0,5.0,236.0,139.0,106.0
102,102.0,250.0,149.0,112.0,7.0,2.0,232.0,142.0,106.0
103,103.0,266.0,146.0,121.0,7.0,1.0,208.0,143.0,108.0
104,104.0,253.0,155.0,117.0,8.0,0.0,216.0,143.0,108.0
105,105.0,242.0,158.0,115.0,9.0,0.0,224.0,143.0,109.0
106,106.0,241.0,159.0,121.0,10.0,1.0,215.0,143.0,110.0
107,107.0,245.0,147.0,122.0,9.0,2.0,222.0,143.0,110.0
108,108.0,241.0,144.0,120.0,11.0,2.0,228.0,143.0,111.0
109,109.0,241.0,142.0,114.0,8.0,4.0,235.0,144.0,112.0
110,110.0,252.0,141.0,105.0,8.0,4.0,230.0,145.0,115.0
111,111.0,256.0,130.0,103.0,7.0,1.0,239.0,148.0,116.0
112,112.0,266.0,143.0,95.0,6.0,2.0,224.0,148.0,116.0
113,113.0,279.0,136.0,103.0,6.0,3.0,207.0,149.0,117.0
114,114.0,275.0,146.0,103.0,6.0,1.0,201.0,151.0,117.0
115,115.0,276.0,149.0,101.0,6.0,0.0,196.0,153.0,119.0
116,116.0,270.0,147.0,115.0,5.0,1.0,190.0,153.0,119.0
117,117.0,269.0,146.0,108.0,6.0,0.0,198.0,154.0,119.0
118,118.0,256.0,140.0,119.0,6.0,1.0,204.0,154.0,120.0
119,119.0,248.0,144.0,118.0,7.0,1.0,204.0,154.0,124.0
120,120.0,249.0,131.0,125.0,7.0,1.0,207.0,154.0,126.0
121,121.0,264.0,123.0,123.0,7.0,1.0,200.0,154.0,128.0
122,122.0,250.0,134.0,111.0,6.0,1.0,213.0,154.0,131.0
123,123.0,248.0,133.0,103.0,6.0,1.0,224.0,154.0,131.0
124,124.0,260.0,134.0,113.0,6.0,1.0,201.0,154.0,131.0
125,125.0,256.0,141.0,114.0,6.0,1.0,196.0,154.0,132.0
126,126.0,253.0,117.0,129.0,5.0,3.0,205.0,154.0,134.0
127,127.0,243.0,124.0,126.0,6.0,2.0,210.0,154.0,135.0
128,128.0,247.0,140.0,112.0,4.0,3.0,204.0,155.0,135.0
