,Days,Susceptible,Exposed,Infectious,Lag,ICU,Recovered,Dead,Vaccinated
83,83.0,244.0,168.0,146.0,19.0,5.0,286.0,132.0,0.0
84,84.0,239.0,180.0,137.0,21.0,4.0,285.0,134.0,0.0
85,85.0,254.0,170.0,138.0,18.0,7.0,277.0,136.0,0.0
86,86.0,249.0,180.0,134.0,15.0,6.0,279.0,137.0,0.0
87,87.0,250.0,189.0,140.0,15.0,6.0,261.0,139.0,0.0
88,88.0,257.0,181.0,137.0,11.0,9.0,265.0,140.0,0.0
89,89.0,269.0,170.0,153.0,12.0,9.0,245.0,142.0,0.0
90,90.0,276.0,177.0,137.0,16.0,8.0,243.0,143.0,0.0
91,91.0,277.0,179.0,138.0,16.0,6.0,239.0,145.0,0.0
92,92.0,260.0,192.0,132.0,17.0,5.0,248.0,146.0,0.0
93,93.0,255.0,186.0,132.0,16.0,5.0,256.0,150.0,0.0
94,94.0,251.0,185.0,145.0,15.0,5.0,248.0,151.0,0.0
95,95.0,242.0,197.0,148.0,13.0,5.0,244.0,151.0,0.0
96,96.0,234.0,190.0,143.0,12.0,5.0,265.0,151.0,0.0
97,97.0,236.0,191.0,138.0,14.0,2.0,265.0,154.0,0.0
98,98.0,242.0,181.0,145.0,14.0,3.0,261.0,154.0,0.0
99,99.0,243.0,177.0,146.0,10.0,6.0,264.0,154.0,0.0
100,100.0,234.0,191.0,135.0,11.0,4.0,269.0,156.0,0.0
101,101.0,230.0,190.0,146.0,10.0,3.0,265.0,156.0,0.0
102,102.0,246.0,170.0,151.0,13.0,2.0,261.0,157.0,0.0
103,103.0,239.0,169.0,162.0,11.0,5.0,257.0,157.0,0.0
104,104.0,246.0,167.0,155.0,12.0,3.0,259.0,158.0,0.0
105,105.0,252.0,158.0,145.0,12.0,4.0,270.0,159.0,0.0
106,106.0,248.0,175.0,124.0,11.0,4.0,278.0,160.0,0.0
107,107.0,265.0,166.0,130.0,9.0,5.0,264.0,161.0,0.0
108,108.0,275.0,170.0,130.0,9.0,3.0,251.0,162.0,0.0
109,109.0,277.0,171.0,129.0,8.0,2.0,249.0,164.0,0.0
110,110.0,280.0,161.0,138.0,10.0,2.0,244.0,165.0,0.0
111,111.0,289.0,166.0,146.0,12.0,1.0,221.0,165.0,0.0
112,112.0,275.0,162.0,151.0,8.0,4.0,234.0,166.0,0.0
113,113.0,265.0,176.0,146.0,7.0,4.0,236.0,166.0,0.0
114,114.0,265.0,181.0,142.0,7.0,5.0,234.0,166.0,0.0
115,115.0,269.0,173.0,145.0,7.0,3.0,236.0,167.0,0.0
116,116.0,264.0,173.0,138.0,6.0,3.0,249.0,167.0,0.0
117,117.0,279.0,161.0,130.0,8.0,3.0,250.0,169.0,0.0
118,118.0,279.0,167.0,122.0,8.0,3.0,252.0,169.0,0.0
119,119.0,295.0,158.0,115.0,8.0,2.0,252.0,170.0,0.0
120,120.0,297.0,167.0,120.0,8.0,2.0,235.0,171.0,0.0
121,121.0,302.0,181.0,121.0,9.0,1.0,214.0,172.0,0.0
122,122.0,299.0,164.0,149.0,8.0,3.0,205.0,172.0,0.0
123,123.0,284.0,170.0,137.0,8.0,2.0,227.0,172.0,0.0
124,124.0,263.0,182.0,139.0,7.0,3.0,234.0,172.0,0.0
125,125.0,271.0,177.0,140.0,7.0,3.0,230.0,172.0,0.0
126,126.0,269.0,173.0,123.0,9.0,1.0,252.0,173.0,0.0
127,127.0,279.0,172.0,133.0,8.0,2.0,233.0,173.0,0.0
128,128.0,271.0,173.0,143.0,8.0,1.0,231.0,173.0,0.0
129,129.0,258.0,183.0,140.0,7.0,1.0,238.0,173.0,0.0
130,130.0,270.0,177.0,138.0,8.0,1.0,233.0,173.0,0.0
131,131.0,265.0,168.0,145.0,6.0,3.0,239.0,174.0,0.0
132,132.0,262.0,170.0,131.0,7.0,3.0,253.0,174.0,0.0
133,133.0,262.0,165.0,137.0,4.0,3.0,254.0,175.0,0.0
134,134.0,245.0,165.0,143.0,5.0,1.0,263.0,178.0,0.0
135,135.0,248.0,168.0,146.0,4.0,1.0,254.0,179.0,0.0
136,136.0,252.0,159.0,136.0,4.0,1.0,269.0,179.0,0.0
137,137.0,281.0,151.0,120.0,7.0,2.0,259.0,180.0,0.0
138,138.0,287.0,153.0,120.0,7.0,0.0,253.0,180.0,0.0
139,139.0,288.0,156.0,122.0,8.0,0.0,246.0,180.0,0.0
140,140.0,292.0,167.0,136.0,7.0,1.0,217.0,180.0,0.0
141,141.0,295.0,184.0,124.0,5.0,3.0,208.0,181.0,0.0
142,142.0,298.0,173.0,136.0,6.0,0.0,203.0,184.0,0.0
143,143.0,279.0,178.0,136.0,5.0,2.0,216.0,184.0,0.0
144,144.0,277.0,162.0,148.0,5.0,2.0,221.0,185.0,0.0
145,145.0,277.0,167.0,130.0,4.0,3.0,234.0,185.0,0.0
146,146.0,276.0,162.0,143.0,6.0,1.0,227.0,185.0,0.0
147,147.0,261.0,182.0,132.0,7.0,0.0,231.0,187.0,0.0
148,148.0,273.0,159.0,149.0,7.0,0.0,225.0,187.0,0.0
149,149.0,276.0,158.0,141.0,9.0,0.0,227.0,189.0,0.0
150,150.0,266.0,162.0,142.0,7.0,2.0,232.0,189.0,0.0
151,151.0,262.0,168.0,133.0,6.0,3.0,239.0,189.0,0.0
152,152.0,261.0,173.0,129.0,5.0,2.0,241.0,189.0,0.0
153,153.0,262.0,156.0,130.0,4.0,1.0,255.0,192.0,0.0
154,154.0,267.0,149.0,134.0,3.0,1.0,253.0,193.0,0.0
155,155.0,276.0,146.0,129.0,2.0,2.0,252.0,193.0,0.0
156,156.0,290.0,127.0,134.0,2.0,2.0,252.0,193.0,0.0
157,157.0,297.0,132.0,121.0,2.0,1.0,253.0,194.0,0.0
158,158.0,311.0,119.0,137.0,1.0,2.0,236.0,194.0,0.0
159,159.0,319.0,127.0,130.0,2.0,0.0,227.0,195.0,0.0
160,160.0,301.0,141.0,135.0,3.0,0.0,225.0,195.0,0.0
161,161.0,295.0,163.0,132.0,3.0,0.0,212.0,195.0,0.0
162,162.0,281.0,175.0,139.0,3.0,0.0,207.0,195.0,0.0
163,163.0,260.0,185.0,136.0,3.0,0.0,220.0,196.0,0.0
164,164.0,245.0,189.0,152.0,2.0,1.0,215.0,196.0,0.0
165,165.0,242.0,165.0,163.0,2.0,1.0,231.0,196.0,0.0
166,166.0,230.0,176.0,148.0,2.0,1.0,247.0,196.0,0.0
167,167.0,237.0,172.0,143.0,2.0,1.0,249.0,196.0,0.0
168,168.0,234.0,167.0,157.0,2.0,0.0,244.0,196.0,0.0
169,169.0,233.0,166.0,155.0,2.0,1.0,247.0,196.0,0.0
170,170.0,219.0,163.0,156.0,4.0,1.0,261.0,196.0,0.0
171,171.0,229.0,161.0,162.0,4.0,1.0,246.0,197.0,0.0
172,172.0,235.0,155.0,156.0,4.0,1.0,252.0,197.0,0.0
173,173.0,226.0,160.0,141.0,4.0,0.0,271.0,198.0,0.0
174,174.0,244.0,150.0,147.0,5.0,1.0,255.0,198.0,0.0
175,175.0,246.0,146.0,140.0,5.0,0.0,265.0,198.0,0.0
176,176.0,260.0,153.0,129.0,5.0,0.0,255.0,198.0,0.0
177,177.0,276.0,145.0,131.0,5.0,1.0,244.0,198.0,0.0
178,178.0,269.0,153.0,131.0,5.0,0.0,244.0,198.0,0.0
179,179.0,253.0,172.0,131.0,3.0,2.0,241.0,198.0,0.0
180,180.0,260.0,158.0,131.0,2.0,1.0,250.0,198.0,0.0
