p0,Average of S(x)
0.242,0.042425693628033466
0.243,0.04293017873651755
0.244,0.04223396054539008
0.245,0.04091438593554137
0.246,0.04258488103001615
0.247,0.042032954576250635
0.248,0.0427446287093209
0.249,0.045833518210762245
0.25,0.043248118565357145
0.251,0.04540700162668266
0.252,0.04256628579791283
0.253,0.042838854126345506
0.254,0.04345643084805826
0.255,0.044547965558314556
0.256,0.04324270292002848
0.257,0.044169912777845995
0.258,0.04369945729388064
0.259,0.044665036563378384
0.26,0.04472209408596089
0.261,0.04688947635495171
0.262,0.045615950191797566
0.263,0.04549144958418512
0.264,0.04529284633290871
0.265,0.04518063363714054
0.266,0.04578140070747717
0.267,0.04480612764958006
0.268,0.04724435775301471
0.269,0.04612182367658922
0.27,0.04654448028044642
0.271,0.04803877525789634
0.272,0.046569718037774877
0.273,0.04605949932252398
0.274,0.045911612758372106
0.275,0.046399339715485675
0.276,0.04627206094853868
0.277,0.04805440896926924
0.278,0.048855511589856584
0.279,0.04856278103833947
0.28,0.047278323201034235
0.281,0.047573374860106765
0.28200000000000003,0.04816871588046847
0.28300000000000003,0.049062402692965634
0.28400000000000003,0.050982853046329484
0.28500000000000003,0.049601906026863755
0.28600000000000003,0.04937888863049165
0.28700000000000003,0.050003340463446184
0.28800000000000003,0.049188703455848255
0.289,0.04990248987841944
0.29,0.05000493331698161
0.291,0.05194914055713609
0.292,0.050996987381610716
0.293,0.05176236438951777
0.294,0.049772868968585786
0.295,0.04995372841937059
0.296,0.05153372628921204
0.297,0.0511236834343395
0.298,0.050837576123458884
0.299,0.05202935521405625
0.3,0.05191676339526574
0.301,0.05158429093337953
0.302,0.053179517488687635
0.303,0.053352314885017814
0.304,0.053091971653844404
0.305,0.051809729870458045
0.306,0.05398619404059308
0.307,0.05260573234849362
0.308,0.052196709869467915
0.309,0.054744600579459846
0.31,0.05287195924673372
0.311,0.05485512860249024
0.312,0.05363507700176714
0.313,0.05371985733955185
0.314,0.053838705445992785
0.315,0.05444921889580187
0.316,0.05646829258907009
0.317,0.05343126755609803
0.318,0.055452406288663735
0.319,0.055136875885379015
0.32,0.0555173504623884
0.321,0.05676903938825491
0.322,0.05565621852735641
0.323,0.05624661250620765
0.324,0.05613520082381647
0.325,0.055801408263141866
0.326,0.056859853463773945
0.327,0.057218656856041016
0.328,0.055939065669416005
0.329,0.055676382169919644
0.33,0.0568420625782445
0.331,0.05809042666253425
0.332,0.05708926528527372
0.333,0.05925804877364301
0.334,0.05831857615718037
