p0,Average of S(x)
0.18,0.0689919018872598
0.181,0.06969685568294406
0.182,0.06982193038962857
0.183,0.0702459285408622
0.184,0.0707029156936314
0.185,0.0707899179683826
0.186,0.07118408892956324
0.187,0.0718763249686982
0.188,0.07217501363246664
0.189,0.07245979193598419
0.19,0.0725433808367266
0.191,0.07338600901851423
0.192,0.07346665612022048
0.193,0.07402885930605775
0.194,0.0746170133021962
0.195,0.07513303240638525
0.196,0.07563105017643483
0.197,0.0755015760361328
0.198,0.07551674362030951
0.199,0.07628455701042812
0.2,0.0769109591850657
0.201,0.0775844263760921
0.202,0.07771566101636654
0.203,0.07813216886574442
0.20400000000000001,0.07858765688562244
0.20500000000000002,0.07853964624059899
0.20600000000000002,0.07882934455570967
0.20700000000000002,0.0792687674354142
0.20800000000000002,0.0796438930563695
0.209,0.08024805093492983
0.21,0.08074574348590934
0.211,0.08100393016259365
0.212,0.08130790193833724
0.213,0.08149666981306243
0.214,0.08233250227135529
0.215,0.08227012557690003
0.216,0.08339625336707965
0.217,0.08343950867301618
0.218,0.08382835937637996
0.219,0.08345628798756514
0.22,0.08466470008615753
0.221,0.08514550066992456
0.222,0.08511586374451992
0.223,0.0851715346512876
0.224,0.08579890977040616
0.225,0.08640255590110538
0.226,0.08702385926580988
0.227,0.08658750260302625
0.228,0.0871871696820282
0.229,0.08824479473239567
0.23,0.08790534957322754
0.231,0.08877560458756403
0.232,0.08883399492527555
0.233,0.08924735110660707
0.234,0.08962865721034972
0.23500000000000001,0.09030937068258339
0.23600000000000002,0.09078552524331122
0.23700000000000002,0.09089720230282203
0.23800000000000002,0.09143102281594338
0.23900000000000002,0.09161244983279705
0.24,0.09199122793448909
0.241,0.09281624124845073
0.242,0.09305741735529299
0.243,0.09342903036358093
0.244,0.09329937471107798
0.245,0.09423437578974186
0.246,0.0949179544908895
0.247,0.09514941089014844
0.248,0.09507263122591551
0.249,0.09579137407953184
0.25,0.09612906337341774
0.251,0.09644712808259093
0.252,0.09703048777410019
0.253,0.09768821987558636
0.254,0.09754786798926118
0.255,0.09779640353870196
0.256,0.09804750025151006
0.257,0.09901845167265388
0.258,0.09915614708357572
0.259,0.09967907570565557
0.26,0.09983712124254945
0.261,0.10001728049121666
0.262,0.10042595986289088
0.263,0.10076492739008885
0.264,0.10118739656257861
0.265,0.10200383598917952
0.266,0.10249419696216626
0.267,0.1025548088636775
0.268,0.10281271535374897
0.269,0.10282425183833073
0.27,0.10363274894276553
0.271,0.104191329203866
0.272,0.10465565846406559
0.273,0.10498979172696238
0.274,0.1055647003476675
0.275,0.10539548713546219
0.276,0.10593560022096572
0.277,0.10688294439854712
0.278,0.10639175042435002
0.279,0.10697971344243636
0.28,0.10738670714018246
0.281,0.10805727343295353
0.28200000000000003,0.10818384521292163
0.28300000000000003,0.10828490918603431
0.28400000000000003,0.10845120154714755
0.28500000000000003,0.10954919180895192
0.28600000000000003,0.10981860915043512
0.28700000000000003,0.1096267320453343
0.28800000000000003,0.11053792304074311
0.289,0.11097959551284903
0.29,0.11124783280332483
0.291,0.11142896696396283
0.292,0.11249933175031876
0.293,0.11251299990161942
0.294,0.11270320077152086
0.295,0.11288322106526748
0.296,0.11349253072628131
0.297,0.11400642182824879
0.298,0.1152733954515086
0.299,0.114812769170255
0.3,0.11481464985670263
0.301,0.11532718445221915
0.302,0.11570452201591706
0.303,0.11566047572252164
0.304,0.11715649124742003
0.305,0.11672501102509189
0.306,0.11752780551453122
0.307,0.11770565907630953
0.308,0.11864946051735677
0.309,0.11837028258549054
0.31,0.11901088235941393
0.311,0.11893794139615733
0.312,0.11970411682592658
0.313,0.12037405747628205
0.314,0.12006332204299817
0.315,0.12096568994823823
0.316,0.12176106436081127
0.317,0.12147313305443119
0.318,0.12265158530623892
0.319,0.1221968540213648
0.32,0.12317409600764076
0.321,0.12292515926331012
0.322,0.12365633901944156
0.323,0.12412817379024596
0.324,0.12411991059790535
0.325,0.1251502320701328
0.326,0.12495184422759321
0.327,0.12559363689453276
0.328,0.12630704562699047
0.329,0.12697993701667418
0.33,0.12667827239981647
0.331,0.12726386765004483
0.332,0.1280480607454288
0.333,0.12896539942271806
