,Y Actual,Y Predict,Error
0,0.1106454189741672,0.1146096232003367,-0.003964204226169499
1,0.08560436477959701,0.08626636721609059,-0.0006620024364935723
2,0.047994270520396384,0.048205423465817264,-0.00021115294542087965
3,0.056484768202960535,0.05759918830631027,-0.0011144201033497364
4,0.13334227473209045,0.13485480604622677,-0.0015125313141363117
5,0.08929395026069338,0.089505596471433,-0.0002116462107396161
6,0.00416406376615132,0.0043138670559275975,-0.0001498032897762772
7,0.037328678014069465,0.03735400546042019,-2.5327446350725813e-05
8,0.04883517641357113,0.04950111516795423,-0.0006659387543831025
9,0.1615543216296138,0.1609306015517332,0.0006237200778806129
10,0.10569495053127978,0.1091029334662546,-0.0034079829349748236
11,0.16139703484408147,0.1617404088655688,-0.0003433740214873471
12,0.16472900754189554,0.1594729483868291,0.005256059155066439
13,0.03889284064222075,0.03864969716255715,0.00024314347966359479
14,0.1407364379124679,0.13955168846647326,0.0011847494459946428
15,0.008951584005463305,0.008848788013406973,0.00010279599205633219
16,0.10377589890756564,0.10262447495556978,0.0011514239519958558
17,0.028905028368300407,0.028284163545461444,0.0006208648228389624
18,0.002234161157844024,0.0022083680399550294,2.5793117888994656e-05
19,0.012134135176359426,0.012411940194283625,-0.00027780501792419934
20,0.004723723169636036,0.004961712906996079,-0.0002379897373600429
21,0.08025281418315752,0.07816829407773457,0.0020845201054229545
22,0.04988912280305315,0.05014896101902271,-0.00025983821596956
23,0.047673839229179435,0.05031092248178984,-0.002637083252610403
24,0.15159055776276553,0.1502411450091032,0.0013494127536623213
25,0.1244929165989688,0.12772850168447347,-0.003235585085504672
26,0.007247667943392585,0.007229173385735767,1.84945576568174e-05
27,0.016662967033735498,0.016622938226228758,4.002880750673954e-05
28,0.113496087739399,0.11784885245567911,-0.004352764716280114
29,0.0001612451398212931,0.00010286902398246248,5.837611583883062e-05
30,0.1301472272051848,0.12481319535466529,0.005334031850519505
31,0.11535416475932783,0.11509550758863805,0.00025865717068977723
32,0.10010155178300867,0.09954720716299449,0.0005543446200141772
33,0.07507689555277686,0.07298552726918672,0.0020913682835901337
34,0.07471830039864368,0.07395729604578945,0.0007610043528542276
35,0.11807052574301677,0.11930650562058319,-0.0012359798775664205
36,0.1282764112637398,0.12918615484937754,-0.0009097435856377512
37,0.0611123686880779,0.059380764396748595,0.0017316042913293056
38,0.1458818447500454,0.14878349184419914,-0.0029016470941537476
39,0.04391367243739998,0.04318461812003654,0.0007290543173634409
40,0.03810858518879028,0.03719204399765307,0.0009165411911372101
41,0.1555947015882027,0.16141648594003455,-0.005821784351831838
42,0.08296599199075602,0.0838369452745838,-0.0008709532838277745
43,0.13754832984691887,0.13987561139200752,-0.0023272815450886553
44,0.03991933018044621,0.0405932347157626,-0.0006739045353163914
45,0.11099856884805162,0.1113703939449943,-0.0003718250969426823
46,0.1318515377221035,0.13274930703025423,-0.0008977693081507199
47,0.023061934249221098,0.022777473811379338,0.00028446043784175964
48,0.05100868979192001,0.05112072979562544,-0.0001120400037054256
49,0.07901638802430368,0.07800633261496746,0.0010100554093362135
50,0.05239548133313551,0.05355015173713225,-0.0011546704039967354
51,0.04972877216121114,0.0477195390775159,0.0020092330836952374
52,0.04363858573827911,0.04237481080620093,0.0012637749320781808
53,0.06935771465377598,0.07023218240214567,-0.0008744677483696894
54,0.14125033800144746,0.13971364992924037,0.001536688072207082
55,0.062362335803368175,0.0601905717105842,0.0021717640927839746
56,0.04489778215117021,0.043994425433872136,0.0009033567172980761
57,0.0423628460962143,0.0436705025083379,-0.0013076564121235965
58,0.09377201834765153,0.09420247889167951,-0.00043046054402798295
59,0.051184498620272,0.0516066141839268,-0.00042211556365479713
60,0.11356634009634188,0.11201823979606278,0.0015481003002791038
61,0.16154782690452785,0.15914902546129486,0.002398801443232984
62,0.02285266536162417,0.022939435274146464,-8.676991252229427e-05
63,0.03306479121133215,0.032657123040173694,0.0004076681711584554
64,0.12493572512709065,0.12870027046107618,-0.003764545333985528
65,0.031814743439816565,0.031685354263570976,0.00012938917624558816
66,0.04319499136513358,0.042698733731735175,0.0004962576333984031
67,0.12421718637928784,0.12157396609932286,0.0026432202799649834
68,0.04091077738445968,0.040755196178529726,0.0001555812059299555
69,0.0953382491929363,0.09339267157784392,0.0019455776150923837
70,0.06271833081380393,0.06391568535422797,-0.0011973545404240366
71,0.04981950048218512,0.04836738492858439,0.0014521155536007316
72,0.095486032832445,0.09387855596614526,0.0016074768662997369
73,0.037886741374146465,0.03994538886469412,-0.002058647490547655
74,0.061320808716641174,0.06294391657762524,-0.0016231078609840674
75,0.1583208220558946,0.15509998889211685,0.0032208331637777476
76,0.1351439848646268,0.1319394997164186,0.0032044851482082026
77,0.07561977661905436,0.07541494921069353,0.0002048274083608359
78,0.09834351454727376,0.09744170814702191,0.0009018064002518505
79,0.10789239829059064,0.10602566567367931,0.0018667326169113235
80,0.04254895015084018,0.04221284934343381,0.00033610080740636983
81,0.07448694078660263,0.07411925750855655,0.0003676832780460798
82,0.1387518053004571,0.14165718748244582,-0.002905382181988714
83,0.15291714908422188,0.15461410450381546,-0.001696955419593582
84,0.0982886723078982,0.09663190083318632,0.0016567714747118822
85,0.16230842256486416,0.1601207942378976,0.002187628326966562
86,0.0379371034687651,0.03816381277425579,-0.00022670930549068685
87,0.07956654412570209,0.08140752333307698,-0.0018409792073748876
88,0.05874878450487924,0.058570957082912996,0.00017782742196624512
89,0.15089956432425478,0.15007918354633612,0.0008203807779186556
90,0.1315118153433543,0.13323519141855558,-0.0017233760752012883
