p0,Average of S(x)
0.135,0.021540569154146597
0.136,0.02167575402851521
0.137,0.021842023107975107
0.138,0.02257953579851622
0.139,0.021659681262896496
0.14,0.02130802667009665
0.14100000000000001,0.022972800143210736
0.14200000000000002,0.021845405456468608
0.14300000000000002,0.023169603846097772
0.14400000000000002,0.022761189241055583
0.145,0.022332847441099615
0.146,0.02261432270001969
0.147,0.022936214551403707
0.148,0.023923357137843472
0.149,0.023356213661101903
0.15,0.023861861931904243
0.151,0.024650407146629316
0.152,0.024715251613205824
0.153,0.024231077828300716
0.154,0.02618919177018209
0.155,0.024061824836183205
0.156,0.024860842740832376
0.157,0.024301968692328306
0.158,0.025859049817542133
0.159,0.02578922216992596
0.16,0.024985816003176446
0.161,0.025532748356067406
0.162,0.026000689385384964
0.163,0.02543264619932932
0.164,0.02581222033456683
0.165,0.026005488718073507
0.166,0.02641147346029
0.167,0.026257366532025834
0.168,0.02719758651867764
0.169,0.026045810386315208
0.17,0.027638290344880335
0.171,0.02714196571467054
0.17200000000000001,0.02753664409461696
0.17300000000000001,0.02782574540606007
0.17400000000000002,0.02817430681093067
0.17500000000000002,0.028182554758157126
0.176,0.02886519745769375
0.177,0.02834609013763113
0.178,0.028276690928456135
0.179,0.02934158472302409
0.18,0.028844573168184104
0.181,0.029128597302541494
0.182,0.029521639461517417
0.183,0.029196949657115306
0.184,0.029173711696287716
0.185,0.028739436905748234
0.186,0.030292554990243248
0.187,0.03027230028576176
0.188,0.029521561293003065
0.189,0.031257015612107336
0.19,0.02911812436050052
0.191,0.03134836886165009
0.192,0.030548915452045997
0.193,0.031056731420066472
0.194,0.03057644223592798
0.195,0.03074896315607735
0.196,0.030585702330537718
0.197,0.03202983431535708
0.198,0.03175507380993981
0.199,0.03219135756614706
0.2,0.03166516861213716
0.201,0.032693957833403266
0.202,0.03271859601972743
0.203,0.03255706599914881
0.20400000000000001,0.0328873387438634
0.20500000000000002,0.03342139191127749
0.20600000000000002,0.03317789346882164
0.20700000000000002,0.03296907307767367
0.20800000000000002,0.03399935062315232
0.209,0.03265740864326906
0.21,0.033129681847448654
0.211,0.03365171404627107
0.212,0.035063673197906264
0.213,0.034078284666151426
0.214,0.03328016366745959
0.215,0.03384779989033442
0.216,0.03447380329733978
0.217,0.03517933720276477
0.218,0.03383744587768192
0.219,0.03423298424599921
0.22,0.03436068023902005
0.221,0.036350752127776255
0.222,0.03595764306140929
0.223,0.03467582449725267
0.224,0.03680663262713491
0.225,0.035641820944346495
0.226,0.03727343797612719
0.227,0.03704408536360065
0.228,0.036636854934024965
0.229,0.037319648568087456
0.23,0.036620764317305626
0.231,0.035444354227973957
0.232,0.03729506863665589
0.233,0.037466233622022255
0.234,0.03720452219778949
0.23500000000000001,0.035844112994724085
0.23600000000000002,0.03802780110806687
0.23700000000000002,0.03645674460723555
0.23800000000000002,0.038973951817148904
0.23900000000000002,0.03812893982523809
0.24,0.03876035924773606
0.241,0.03834555092720328
0.242,0.03827164547678227
0.243,0.039195357208712346
0.244,0.03876922732128678
0.245,0.03699224515672887
0.246,0.0387470674014634
0.247,0.038665890742852656
0.248,0.04094925102952257
0.249,0.04007361457524807
0.25,0.039493921099058985
0.251,0.04046718254910463
0.252,0.03967340949156888
0.253,0.039275562033709355
0.254,0.041113582834185945
0.255,0.039792934759380116
0.256,0.04093719021183959
0.257,0.04140740818668781
0.258,0.04086633845968668
0.259,0.041756938397286225
0.26,0.040873185762958245
0.261,0.042911513102244274
0.262,0.042705131541901684
0.263,0.04288854410939046
0.264,0.04099142388213276
0.265,0.04254210720183038
0.266,0.042474501968494505
0.267,0.04263795944204403
0.268,0.04323395307522314
0.269,0.04288752230348089
0.27,0.04553560427741797
0.271,0.0442128666053118
0.272,0.042323151599894276
0.273,0.04389968433580497
0.274,0.044409229204098635
0.275,0.04502830777294234
0.276,0.04205114680743194
0.277,0.04273417117724441
0.278,0.0454401921717647
0.279,0.04551089141763751
0.28,0.04379598522750254
0.281,0.04558016600006626
0.28200000000000003,0.0464969868242493
0.28300000000000003,0.044749518950934035
0.28400000000000003,0.04411166825958745
0.28500000000000003,0.04559673963372214
0.28600000000000003,0.04689894891818009
0.28700000000000003,0.044103280400040655
0.28800000000000003,0.04619495423209342
0.289,0.04480652376538341
0.29,0.04681915923091791
0.291,0.046143784454149246
0.292,0.044872667922002014
0.293,0.045633037871231893
0.294,0.047417770090127355
0.295,0.04623507610070694
0.296,0.04634483848907374
0.297,0.04622650885358613
0.298,0.046520584288486565
0.299,0.04703669214067179
0.3,0.048104197633172086
0.301,0.04915405950931981
0.302,0.04755570017852911
0.303,0.04908272714549176
0.304,0.05010844406356602
0.305,0.04846449420215324
0.306,0.04648434213308741
0.307,0.047490846159973926
0.308,0.04858787823827023
0.309,0.049111479775080964
0.31,0.05078811477146103
0.311,0.04845303456171268
0.312,0.0492581369850785
0.313,0.050055859199749815
0.314,0.05141873988955193
0.315,0.050027982106185274
0.316,0.05110342174009028
0.317,0.050774275922927464
0.318,0.051461048011833224
0.319,0.05152845317833978
0.32,0.049458206576149626
0.321,0.05105898121887181
0.322,0.05070310881863045
0.323,0.05002402620566154
0.324,0.05148325093371278
0.325,0.051671731403221836
0.326,0.05200195350883633
0.327,0.051851596445177436
0.328,0.052009903046352966
0.329,0.05459691042712194
0.33,0.051898635657142325
0.331,0.05106067568593199
0.332,0.05334904975507951
0.333,0.05488320064364069
0.334,0.053004489603675584
0.335,0.05371573722095939
0.336,0.0529987508738571
0.337,0.05210138496934914
0.338,0.05350538066459346
0.339,0.05422728173374608
0.34,0.05243664968429265
0.341,0.05522715071603763
0.342,0.05504261286243371
0.343,0.05603150279917501
0.34400000000000003,0.05357114620510285
0.34500000000000003,0.05370017599027113
0.34600000000000003,0.055094718025521044
0.34700000000000003,0.05538934787177845
0.34800000000000003,0.05706311030100778
0.34900000000000003,0.05766807771374423
0.35000000000000003,0.05658192712738772
0.35100000000000003,0.056329922817520424
0.352,0.05736468132293919
0.353,0.05549326009458155
0.354,0.058277441569956796
0.355,0.058759935315553194
0.356,0.05617054721845934
0.357,0.0559936689510359
0.358,0.05877352665154859
